countrycode,country,rgdpo,pop,emp,hc,ccon,pcgdp
COD,D.R. of the Congo,84834.7734375,84.068091,24.3812828063965,1.67250561714172,74485.4921875,1009.11977931674
COG,Congo,25830.57421875,5.244359,1.9490362405777,2.04257464408875,16195.18359375,4925.40160174961
COL,Colombia,684435.125,49.661048,21.3982315063477,2.58082032203674,599928.5625,13782.1321249604
COM,Comoros,2648.43212890625,0.832322,0.195682853460312,,2682.08276367188,3181.98020586534
CPV,Cabo Verde,3711.69921875,0.543767,0.208237439393997,,3340.13696289063,6825.90009829578
CRI,Costa Rica,91075.3828125,4.999441,2.1961886882782,2.67630171775818,79086.3984375,18217.1132357598
CUW,Curaçao,3487.0419921875,0.162752,0.060699999332428,,3435.85375976563,21425.4939551434
CYM,Cayman Islands,3969.59350585938,0.064174,0.0445500239729881,,2582.70776367188,61856.7255564462
CYP,Cyprus,26906.84765625,0.861749,0.357038050889969,2.88358068466187,24735.4375,31223.5322074641
CZE,Czech Republic,391695.15625,10.665677,5.44891309738159,3.67005181312561,282873.28125,36724.8282739108
DEU,Germany,4263030.5,83.124418,44.3060302734375,3.67292213439941,3019367.75,51284.9365152848
DJI,Djibouti,5741.15771484375,0.958923,0.364982068538666,,4563.69873046875,5987.0893855333
DMA,Dominica,706.057922363281,0.071625,,,972.553649902344,9857.70223194808
DNK,Denmark,298718.46875,5.752126,2.94209003448486,3.58110880851746,202803.859375,51931.8368112938
DOM,Dominican Republic,182312.09375,10.627141,4.9869441986084,2.73215627670288,145792.515625,17155.3283945325
DZA,Algeria,497182.15625,42.228408,11.0936212539673,2.34303092956543,357485.71875,11773.6419580392
ECU,Ecuador,196040.78125,17.084358,8.16864776611328,2.75602555274963,143825.296875,11474.8696585497
EGY,Egypt,1208533.125,98.423598,25.9848003387451,2.64707231521606,1063634.25,12278.8960123161
ESP,Spain,1849504.75,46.692858,19.5293655395508,2.96457171440125,1345638,39610.0138055375
EST,Estonia,42704.83203125,1.32292,0.665091991424561,3.63767147064209,32531.978515625,32280.7365760968
ETH,Ethiopia,247508.984375,109.224414,56.1183929443359,1.43478965759277,193955.921875,2266.05916489513
FIN,Finland,244091.6875,5.522576,2.62945699691772,3.48528575897217,191055.46875,44198.8824599245
FJI,Fiji,12426.91796875,0.883483,0.305168986320496,2.69134140014648,9159.541015625,14065.8257926299
FRA,France,2902140.75,67.191027,28.1820640563965,3.21035933494568,2196482,43192.3856439938
GAB,Gabon,32419.529296875,2.119275,0.641878247261047,2.83003211021423,17385.73046875,15297.4622438688
GBR,United Kingdom,2974124.5,67.141684,32.6317443847656,3.76570081710815,2373483.5,44296.2452356721
GEO,Georgia,60610.921875,4.002942,1.3778030872345,,46491.65234375,15141.5938264906
